marca;nombre;precio;tag;link;precio_num;nombre_comercial;categoria_id;categoria
Shimano;JUEGO DE BIELAS FC-R8100 ULTEGRA 52-36T 12V SHIMANO;$ 799.000;Nuevo;;799000;Shimano Ultegra FC-R8100;CAT02;Componentes
GW;BICICLETA BMX/DIRT 20P DESTRUCTOR ACERO GW;$ 764.998;Nuevo;;764998;GW Destructor 20P;CAT01;Bicicletas
Syncros;SOPORTE CICLOCOMPUTADOR Y LUZ/GO PRO IC AERO SYNCROS;$ 380.000;Nuevo;;380000;Syncros IC Aero;CAT07;Accesorios
SCOTT;BICICLETA RUTA FOIL RC 10 2024/2025 SCOTT;$ 24.679.999;Nuevo;;24679999;Foil RC 10;CAT01;Bicicletas
Shimano;JUEGO DE BIELAS FC-R3000 SORA 34-50T 9V SHIMANO;$ 390.000;Nuevo;;390000;Shimano Sora FC-R3000;CAT02;Componentes
Chaoyang;LLANTA MTB 29X2.0 60TPI H-5196TR VICTORY II PLEGABLE CHAOYANG;$ 75.000;Nuevo;;75000;Chaoyang Victory II H-5196TR;CAT03;Neumáticos
GW;BOLSO PORTAHERRAMIENTAS ROLL UP GW;$ 58.000;Nuevo;;58000;GW Roll Up;CAT08;Herramientas
Shimano;PLATO FC-M4100-2 DEORE 36T-BF 10V SHIMANO;$ 60.000;Nuevo;;60000;Shimano Deore FC-M4100-2;CAT02;Componentes
Shimano;PALANCAS DE FRENO BL-M9200 L/R XTR SHIMANO;$ 750.000;Nuevo;;750000;Shimano XTR BL-M9200;CAT04;Frenos
Shimano;CABLE DE FRENO TRASERO 1.5X2100MM 7X7 ACERO;$ 38.000;Nuevo;;38000;Cable de Freno Trasero;CAT04;Frenos
GW;SILLIN RUTA AF 155MM HOCKER GW;$ 21.000;Nuevo;;21000;GW Hocker AF;CAT02;Componentes
Shimano;PALANCAS DE FRENO/CAMBIO ST-M310-3X8V SHIMANO;$ 130.000;Nuevo;;130000;Shimano ST-M310;CAT02;Componentes
Shimano;PLATO FC-R8000 39T-MW ULTEGRA 11V SHIMANO;$ 50.000;Nuevo;;50000;Shimano Ultegra FC-R8000;CAT02;Componentes
